,LOAN IDENTIFIER,ORIGINATION CHANNEL,SELLER NAME,ORIGINAL INTEREST RATE,ORIGINAL UPB,ORIGINAL LOAN TERM,ORIGINATION DATE,FIRST PAYMENT DATE,ORIGINAL LOAN-TO-VALUE (LTV),ORIGINAL COMBINED LOAN-TO-VALUE (CLTV),NUMBER OF BORROWERS,ORIGINAL DEBT TO INCOME RATIO,BORROWER CREDIT SCORE AT ORIGINATION,FIRST TIME HOME BUYER INDICATOR,LOAN PURPOSE,PROPERTY TYPE,NUMBER OF UNITS,OCCUPANCY TYPE,PROPERTY STATE,ZIP CODE SHORT,PRIMARY MORTGAGE INSURANCE PERCENT,PRODUCT TYPE,CO-BORROWER CREDIT SCORE AT ORIGINATION,MORTGAGE INSURANCE TYPE,RELOCATION MORTGAGE INDICATOR,LOAN_COUNT,VINTAGE_YEAR,VINTAGE_MONTH,LTV_BUCKET,UPB_BUCKET,FICO_BUCKET,TERM_BUCKET,INT_RT_BUCKET
68,100168717231,R,OTHER,4.25,145000,360,06/2017,08/2017,30,30,2,29,674.0,N,R,SF,1,P,CA,907,,FRM,657.0,,N,1,2017,6,30,100000,650.0,360,4.25
69,100170927257,C,SUNTRUST BANK,4.625,207000,360,03/2017,05/2017,74,74,1,45,767.0,N,C,SF,1,P,UT,840,,FRM,,,N,1,2017,3,70,200000,750.0,360,4.625
70,100172185832,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.5,219000,360,04/2017,06/2017,95,95,1,30,717.0,N,P,PU,1,P,AL,352,30.0,FRM,,1.0,N,1,2017,4,90,200000,700.0,360,4.5
71,100177847101,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.375,77000,360,04/2017,06/2017,95,95,1,33,788.0,Y,P,CO,1,P,WI,537,30.0,FRM,,1.0,N,1,2017,4,90,50000,750.0,360,4.375
72,100179614496,R,"WELLS FARGO BANK, N.A.",4.625,592000,360,04/2017,06/2017,75,75,1,31,720.0,N,R,PU,1,P,CA,926,,FRM,,,N,1,2017,4,70,550000,700.0,360,4.625
73,100182118210,R,OTHER,4.125,240000,360,06/2017,08/2017,80,80,1,32,779.0,N,P,SF,1,P,UT,847,,FRM,,,N,1,2017,6,80,200000,750.0,360,4.125
74,100193416038,R,OTHER,4.125,320000,360,04/2017,06/2017,90,90,1,26,777.0,Y,P,SF,1,P,NY,142,25.0,FRM,,1.0,N,1,2017,4,90,300000,750.0,360,4.125
75,100194979754,R,OTHER,4.375,70000,360,04/2017,06/2017,80,80,2,16,769.0,Y,P,SF,1,P,IL,624,,FRM,767.0,,N,1,2017,4,80,50000,750.0,360,4.375
76,100198324701,R,OTHER,4.0,371000,360,05/2017,07/2017,95,95,2,22,806.0,N,P,PU,1,P,NC,276,30.0,FRM,814.0,1.0,N,1,2017,5,90,350000,800.0,360,4.0
77,100200195657,C,"WELLS FARGO BANK, N.A.",4.875,636000,360,03/2017,05/2017,78,90,1,42,707.0,Y,P,SF,1,P,NJ,70,,FRM,,,N,1,2017,3,70,600000,700.0,360,4.875
78,100200287841,C,SUNTRUST BANK,3.375,250000,180,03/2017,05/2017,49,49,1,29,811.0,N,P,PU,1,P,TX,787,,FRM,,,N,1,2017,3,40,250000,800.0,180,3.375
79,100201653994,R,OTHER,4.75,262000,360,04/2017,06/2017,72,72,2,31,744.0,N,C,SF,1,P,VT,54,,FRM,714.0,,N,1,2017,4,70,250000,700.0,360,4.75
80,100203590066,C,OTHER,4.0,178000,360,06/2017,08/2017,90,90,2,37,762.0,Y,P,SF,1,P,WI,542,25.0,FRM,784.0,1.0,N,1,2017,6,90,150000,750.0,360,4.0
81,100205866183,C,"WELLS FARGO BANK, N.A.",4.375,156000,360,05/2017,07/2017,80,80,1,21,818.0,Y,P,PU,1,P,GA,301,,FRM,,,N,1,2017,5,80,150000,800.0,360,4.375
82,100206163968,C,"FLAGSTAR BANK, FSB",5.25,176000,360,01/2017,03/2017,80,80,1,43,665.0,N,C,SF,1,P,FL,328,,FRM,,,N,1,2017,1,80,150000,650.0,360,5.25
83,100206189120,C,PMTT4,4.25,252000,360,05/2017,07/2017,72,72,2,28,757.0,N,P,PU,1,S,MD,215,,FRM,791.0,,N,1,2017,5,70,250000,750.0,360,4.25
84,100207042827,C,OTHER,4.625,594000,360,04/2017,06/2017,80,80,2,45,777.0,N,P,SF,1,P,CA,913,,FRM,752.0,,N,1,2017,4,80,550000,750.0,360,4.625
85,100209403499,R,OTHER,4.375,140000,360,05/2017,07/2017,97,97,1,39,681.0,Y,P,SF,1,P,TX,761,25.0,FRM,,1.0,N,1,2017,5,90,100000,650.0,360,4.375
86,100211563701,R,OTHER,4.375,207000,360,04/2017,06/2017,90,90,2,31,795.0,N,P,SF,1,P,KY,410,25.0,FRM,727.0,2.0,N,1,2017,4,90,200000,750.0,360,4.375
87,100214111877,R,OTHER,4.0,291000,360,05/2017,07/2017,97,97,2,30,754.0,Y,P,SF,1,P,WA,984,18.0,FRM,745.0,1.0,N,1,2017,5,90,250000,750.0,360,4.0
